,SEASON_YEAR,TEAM_ABBREVIATION,TEAM_NAME,GAME_ID,GAME_DATE,MATCHUP,TEAM_ID,FGM_LT_10,FGA_LT_10,LT_10_PCT,NS_LT_10_PCT,D_FGM,D_FGA,D_FG_PCT,NORMAL_FG_PCT,FG3M,FG3A,FG3_PCT,NS_FG3_PCT,FG2M,FG2A,FG2_PCT,NS_FG2_PCT,E_PACE,E_DEF_RATING
0,2023-24,HOU,Houston Rockets,22300542,2024-01-13,HOU @ BOS,1610612738,851,1560,0.546,0.588,1623,3588,0.452,0.477,537,1483,0.362,0.366,1086,2105,0.516,0.548,100.3,105.9
1,2023-24,HOU,Houston Rockets,22300534,2024-01-12,HOU @ DET,1610612765,1006,1711,0.588,0.583,1731,3494,0.495,0.474,455,1195,0.381,0.367,1276,2299,0.555,0.544,102.3,114.7
3,2023-24,HOU,Houston Rockets,22300523,2024-01-10,HOU @ CHI,1610612741,863,1464,0.589,0.587,1659,3548,0.468,0.476,582,1590,0.366,0.368,1077,1958,0.55,0.545,97.9,112.9
4,2023-24,HOU,Houston Rockets,22300509,2024-01-08,HOU @ MIA,1610612748,866,1402,0.618,0.586,1567,3262,0.48,0.474,504,1381,0.365,0.364,1063,1881,0.565,0.544,99.2,108.2
5,2023-24,HOU,Houston Rockets,22300496,2024-01-06,HOU vs. MIL,1610612749,949,1647,0.576,0.583,1733,3690,0.47,0.473,458,1357,0.338,0.365,1275,2333,0.547,0.542,103.9,113.1
7,2023-24,HOU,Houston Rockets,22300485,2024-01-05,HOU vs. MIN,1610612750,785,1442,0.544,0.586,1494,3371,0.443,0.473,435,1257,0.346,0.367,1059,2114,0.501,0.544,101.6,103.5
8,2023-24,HOU,Houston Rockets,22300469,2024-01-03,HOU vs. BKN,1610612751,784,1391,0.564,0.584,1557,3338,0.466,0.474,528,1379,0.383,0.367,1029,1959,0.525,0.543,100.6,112.9
2,2023-24,HOU,Houston Rockets,22300453,2024-01-01,HOU vs. DET,1610612765,1006,1711,0.588,0.583,1731,3494,0.495,0.474,455,1195,0.381,0.367,1276,2299,0.555,0.544,102.3,114.7
9,2023-24,HOU,Houston Rockets,22300434,2023-12-29,HOU vs. PHI,1610612755,876,1511,0.58,0.584,1502,3257,0.461,0.475,411,1218,0.337,0.366,1091,2039,0.535,0.545,101.5,110.9
10,2023-24,HOU,Houston Rockets,22300418,2023-12-27,HOU vs. PHX,1610612756,867,1493,0.581,0.579,1586,3392,0.468,0.468,486,1325,0.367,0.361,1100,2067,0.532,0.536,99.9,111.1
11,2023-24,HOU,Houston Rockets,22300409,2023-12-26,HOU vs. IND,1610612754,1068,1837,0.581,0.585,1721,3454,0.498,0.474,415,1103,0.376,0.366,1306,2351,0.556,0.545,107.1,117.9
12,2023-24,HOU,Houston Rockets,22300392,2023-12-23,HOU @ NOP,1610612740,895,1491,0.6,0.585,1599,3476,0.46,0.472,518,1538,0.337,0.364,1081,1938,0.558,0.544,102.8,109.5
14,2023-24,HOU,Houston Rockets,22300385,2023-12-22,HOU vs. DAL,1610612742,996,1618,0.616,0.577,1740,3632,0.479,0.469,532,1458,0.365,0.364,1208,2174,0.556,0.537,103.1,115.0
16,2023-24,HOU,Houston Rockets,22300371,2023-12-20,HOU vs. ATL,1610612737,999,1613,0.619,0.588,1757,3478,0.505,0.478,522,1341,0.389,0.367,1235,2137,0.578,0.548,104.5,115.1
