,SEASON_YEAR,TEAM_ABBREVIATION,TEAM_NAME,GAME_ID,GAME_DATE,MATCHUP,TEAM_ID,FGM_LT_10,FGA_LT_10,LT_10_PCT,NS_LT_10_PCT,D_FGM,D_FGA,D_FG_PCT,NORMAL_FG_PCT,FG3M,FG3A,FG3_PCT,NS_FG3_PCT,FG2M,FG2A,FG2_PCT,NS_FG2_PCT,E_PACE,E_DEF_RATING
0,2023-24,LAC,LA Clippers,22300537,2024-01-12,LAC @ MEM,1610612763,821,1492,0.55,0.587,1584,3405,0.465,0.476,532,1382,0.385,0.369,1052,2023,0.52,0.544,102.2,111.5
3,2023-24,LAC,LA Clippers,22300526,2024-01-10,LAC vs. TOR,1610612761,955,1616,0.591,0.584,1710,3517,0.486,0.472,526,1357,0.388,0.365,1184,2160,0.548,0.543,101.4,109.2
4,2023-24,LAC,LA Clippers,22300511,2024-01-08,LAC vs. PHX,1610612756,867,1493,0.581,0.579,1586,3392,0.468,0.468,486,1325,0.367,0.361,1100,2067,0.532,0.536,99.9,111.1
6,2023-24,LAC,LA Clippers,22300505,2024-01-07,LAC @ LAL,1610612747,847,1470,0.576,0.58,1692,3615,0.468,0.472,568,1488,0.382,0.366,1124,2127,0.528,0.54,102.4,107.5
8,2023-24,LAC,LA Clippers,22300486,2024-01-05,LAC @ NOP,1610612740,895,1491,0.6,0.585,1599,3476,0.46,0.472,518,1538,0.337,0.364,1081,1938,0.558,0.544,102.8,109.5
5,2023-24,LAC,LA Clippers,22300473,2024-01-03,LAC @ PHX,1610612756,867,1493,0.581,0.579,1586,3392,0.468,0.468,486,1325,0.367,0.361,1100,2067,0.532,0.536,99.9,111.1
10,2023-24,LAC,LA Clippers,22300458,2024-01-01,LAC vs. MIA,1610612748,866,1402,0.618,0.586,1567,3262,0.48,0.474,504,1381,0.365,0.364,1063,1881,0.565,0.544,99.2,108.2
1,2023-24,LAC,LA Clippers,22300438,2023-12-29,LAC vs. MEM,1610612763,821,1492,0.55,0.587,1584,3405,0.465,0.476,532,1382,0.385,0.369,1052,2023,0.52,0.544,102.2,111.5
11,2023-24,LAC,LA Clippers,22300414,2023-12-26,LAC vs. CHA,1610612766,885,1458,0.607,0.586,1581,3170,0.499,0.476,488,1232,0.396,0.369,1093,1938,0.564,0.544,103.2,116.7
12,2023-24,LAC,LA Clippers,22300389,2023-12-23,LAC vs. BOS,1610612738,851,1560,0.546,0.588,1623,3588,0.452,0.477,537,1483,0.362,0.366,1086,2105,0.516,0.548,100.3,105.9
13,2023-24,LAC,LA Clippers,22300379,2023-12-21,LAC @ OKC,1610612760,802,1458,0.55,0.582,1517,3423,0.443,0.47,518,1463,0.354,0.365,999,1960,0.51,0.54,102.6,107.7
14,2023-24,LAC,LA Clippers,22300372,2023-12-20,LAC @ DAL,1610612742,996,1618,0.616,0.577,1740,3632,0.479,0.469,532,1458,0.365,0.364,1208,2174,0.556,0.537,103.1,115.0
17,2023-24,LAC,LA Clippers,22300350,2023-12-18,LAC @ IND,1610612754,1068,1837,0.581,0.585,1721,3454,0.498,0.474,415,1103,0.376,0.366,1306,2351,0.556,0.545,107.1,117.9
18,2023-24,LAC,LA Clippers,22300343,2023-12-16,LAC vs. NYK,1610612752,850,1432,0.594,0.588,1605,3397,0.472,0.477,511,1386,0.369,0.368,1094,2011,0.544,0.548,98.5,108.9
20,2023-24,LAC,LA Clippers,22300325,2023-12-14,LAC vs. GSW,1610612744,926,1547,0.599,0.587,1682,3516,0.478,0.478,500,1395,0.358,0.369,1182,2121,0.557,0.547,102.1,111.0
23,2023-24,LAC,LA Clippers,22300309,2023-12-12,LAC vs. SAC,1610612758,897,1523,0.589,0.583,1621,3345,0.485,0.474,499,1289,0.387,0.366,1122,2056,0.546,0.542,102.0,111.8
25,2023-24,LAC,LA Clippers,22300304,2023-12-11,LAC vs. POR,1610612757,1021,1571,0.65,0.593,1648,3328,0.495,0.475,432,1268,0.341,0.366,1216,2060,0.59,0.549,100.5,111.5
27,2023-24,LAC,LA Clippers,22301225,2023-12-08,LAC @ UTA,1610612762,979,1690,0.579,0.581,1781,3737,0.477,0.473,578,1528,0.378,0.365,1203,2209,0.545,0.541,102.4,116.8
29,2023-24,LAC,LA Clippers,22301215,2023-12-06,LAC vs. DEN,1610612743,889,1578,0.563,0.583,1587,3414,0.465,0.473,445,1226,0.363,0.365,1142,2188,0.522,0.542,99.8,110.0
21,2023-24,LAC,LA Clippers,22300280,2023-12-02,LAC vs. GSW,1610612744,926,1547,0.599,0.587,1682,3516,0.478,0.478,500,1395,0.358,0.369,1182,2121,0.557,0.547,102.1,111.0
22,2023-24,LAC,LA Clippers,22300273,2023-11-30,LAC @ GSW,1610612744,926,1547,0.599,0.587,1682,3516,0.478,0.478,500,1395,0.358,0.369,1182,2121,0.557,0.547,102.1,111.0
24,2023-24,LAC,LA Clippers,22300264,2023-11-29,LAC @ SAC,1610612758,897,1523,0.589,0.583,1621,3345,0.485,0.474,499,1289,0.387,0.366,1122,2056,0.546,0.542,102.0,111.8
30,2023-24,LAC,LA Clippers,22300257,2023-11-27,LAC vs. DEN,1610612743,889,1578,0.563,0.583,1587,3414,0.465,0.473,445,1226,0.363,0.365,1142,2188,0.522,0.542,99.8,110.0
15,2023-24,LAC,LA Clippers,22300244,2023-11-25,LAC vs. DAL,1610612742,996,1618,0.616,0.577,1740,3632,0.479,0.469,532,1458,0.365,0.364,1208,2174,0.556,0.537,103.1,115.0
9,2023-24,LAC,LA Clippers,22300052,2023-11-24,LAC vs. NOP,1610612740,895,1491,0.6,0.585,1599,3476,0.46,0.472,518,1538,0.337,0.364,1081,1938,0.558,0.544,102.8,109.5
32,2023-24,LAC,LA Clippers,22300235,2023-11-22,LAC @ SAS,1610612759,910,1543,0.59,0.582,1700,3484,0.488,0.474,538,1391,0.387,0.369,1162,2093,0.555,0.542,104.6,116.5
33,2023-24,LAC,LA Clippers,22300223,2023-11-20,LAC @ SAS,1610612759,910,1543,0.59,0.582,1700,3484,0.488,0.474,538,1391,0.387,0.369,1162,2093,0.555,0.542,104.6,116.5
35,2023-24,LAC,LA Clippers,22300037,2023-11-17,LAC vs. HOU,1610612745,812,1407,0.577,0.591,1507,3307,0.456,0.476,464,1367,0.339,0.366,1043,1940,0.538,0.548,98.8,105.2
