,SEASON_YEAR,TEAM_ABBREVIATION,TEAM_NAME,GAME_ID,GAME_DATE,MATCHUP,TEAM_ID,FGM_LT_10,FGA_LT_10,LT_10_PCT,NS_LT_10_PCT,D_FGM,D_FGA,D_FG_PCT,NORMAL_FG_PCT,FG3M,FG3A,FG3_PCT,NS_FG3_PCT,FG2M,FG2A,FG2_PCT,NS_FG2_PCT,E_PACE,E_DEF_RATING
0,2023-24,LAL,Los Angeles Lakers,22300531,2024-01-11,LAL vs. PHX,1610612756,867,1493,0.581,0.579,1586,3392,0.468,0.467,486,1325,0.367,0.361,1100,2067,0.532,0.536,99.9,111.1
4,2023-24,LAL,Los Angeles Lakers,22300516,2024-01-09,LAL vs. TOR,1610612761,926,1571,0.589,0.585,1658,3424,0.484,0.472,505,1314,0.384,0.365,1153,2110,0.546,0.543,101.4,109.2
5,2023-24,LAL,Los Angeles Lakers,22300505,2024-01-07,LAL vs. LAC,1610612746,825,1467,0.562,0.584,1544,3354,0.46,0.47,478,1340,0.357,0.363,1066,2014,0.529,0.541,101.2,106.0
7,2023-24,LAL,Los Angeles Lakers,22300491,2024-01-05,LAL vs. MEM,1610612763,796,1451,0.549,0.588,1544,3322,0.465,0.476,519,1344,0.386,0.368,1025,1978,0.518,0.545,102.2,111.5
9,2023-24,LAL,Los Angeles Lakers,22300475,2024-01-03,LAL vs. MIA,1610612748,850,1377,0.617,0.586,1531,3180,0.481,0.474,492,1341,0.367,0.364,1039,1839,0.565,0.544,99.2,108.2
11,2023-24,LAL,Los Angeles Lakers,22300446,2023-12-31,LAL @ NOP,1610612740,847,1419,0.597,0.584,1512,3304,0.458,0.471,489,1464,0.334,0.364,1023,1840,0.556,0.543,102.8,109.5
13,2023-24,LAL,Los Angeles Lakers,22300443,2023-12-30,LAL @ MIN,1610612750,785,1443,0.544,0.586,1494,3371,0.443,0.473,435,1257,0.346,0.367,1059,2114,0.501,0.544,101.6,103.5
15,2023-24,LAL,Los Angeles Lakers,22300428,2023-12-28,LAL vs. CHA,1610612766,863,1421,0.607,0.586,1536,3083,0.498,0.476,470,1194,0.394,0.37,1066,1889,0.564,0.544,103.2,116.7
16,2023-24,LAL,Los Angeles Lakers,22300403,2023-12-25,LAL vs. BOS,1610612738,822,1507,0.545,0.589,1583,3492,0.453,0.478,530,1453,0.365,0.367,1053,2039,0.516,0.549,100.3,105.9
17,2023-24,LAL,Los Angeles Lakers,22300397,2023-12-23,LAL @ OKC,1610612760,782,1429,0.547,0.582,1478,3339,0.443,0.47,511,1428,0.358,0.365,967,1911,0.506,0.54,102.6,107.7
14,2023-24,LAL,Los Angeles Lakers,22300380,2023-12-21,LAL @ MIN,1610612750,785,1443,0.544,0.586,1494,3371,0.443,0.473,435,1257,0.346,0.367,1059,2114,0.501,0.544,101.6,103.5
19,2023-24,LAL,Los Angeles Lakers,22300370,2023-12-20,LAL @ CHI,1610612741,827,1397,0.592,0.588,1571,3359,0.468,0.478,544,1497,0.363,0.369,1027,1862,0.552,0.546,97.9,112.9
20,2023-24,LAL,Los Angeles Lakers,22300359,2023-12-18,LAL vs. NYK,1610612752,828,1392,0.595,0.591,1569,3310,0.474,0.478,502,1348,0.372,0.368,1067,1962,0.544,0.549,98.5,108.9
21,2023-24,LAL,Los Angeles Lakers,22300331,2023-12-15,LAL @ SAS,1610612759,872,1465,0.595,0.583,1622,3305,0.491,0.475,513,1323,0.388,0.369,1109,1982,0.56,0.543,104.6,116.5
22,2023-24,LAL,Los Angeles Lakers,22300316,2023-12-13,LAL @ SAS,1610612759,872,1465,0.595,0.583,1622,3305,0.491,0.475,513,1323,0.388,0.369,1109,1982,0.56,0.543,104.6,116.5
23,2023-24,LAL,Los Angeles Lakers,22300306,2023-12-12,LAL @ DAL,1610612742,974,1579,0.617,0.577,1701,3553,0.479,0.469,520,1428,0.364,0.363,1181,2125,0.556,0.537,103.1,115.0
12,2023-24,LAL,Los Angeles Lakers,22301230,2023-12-07,LAL vs. NOP,1610612740,847,1419,0.597,0.584,1512,3304,0.458,0.471,489,1464,0.334,0.364,1023,1840,0.556,0.543,102.8,109.5
1,2023-24,LAL,Los Angeles Lakers,22301203,2023-12-05,LAL vs. PHX,1610612756,867,1493,0.581,0.579,1586,3392,0.468,0.467,486,1325,0.367,0.361,1100,2067,0.532,0.536,99.9,111.1
25,2023-24,LAL,Los Angeles Lakers,22300291,2023-12-02,LAL vs. HOU,1610612745,794,1374,0.578,0.59,1456,3212,0.453,0.476,440,1320,0.333,0.365,1016,1892,0.537,0.547,98.8,105.2
18,2023-24,LAL,Los Angeles Lakers,22300271,2023-11-30,LAL @ OKC,1610612760,782,1429,0.547,0.582,1478,3339,0.443,0.47,511,1428,0.358,0.365,967,1911,0.506,0.54,102.6,107.7
28,2023-24,LAL,Los Angeles Lakers,22300258,2023-11-29,LAL @ DET,1610612765,1006,1711,0.588,0.584,1731,3494,0.495,0.474,455,1195,0.381,0.366,1276,2299,0.555,0.544,102.3,114.7
29,2023-24,LAL,Los Angeles Lakers,22300255,2023-11-27,LAL @ PHI,1610612755,876,1510,0.58,0.585,1502,3257,0.461,0.475,411,1218,0.337,0.366,1091,2039,0.535,0.546,101.5,110.9
30,2023-24,LAL,Los Angeles Lakers,22300242,2023-11-25,LAL @ CLE,1610612739,821,1467,0.56,0.586,1489,3236,0.46,0.474,444,1240,0.358,0.366,1045,1996,0.524,0.545,100.9,110.0
24,2023-24,LAL,Los Angeles Lakers,22300238,2023-11-22,LAL vs. DAL,1610612742,974,1579,0.617,0.577,1701,3553,0.479,0.469,520,1428,0.364,0.363,1181,2125,0.556,0.537,103.1,115.0
