,SEASON_YEAR,TEAM_ABBREVIATION,TEAM_NAME,GAME_ID,GAME_DATE,MATCHUP,TEAM_ID,FGM_LT_10,FGA_LT_10,LT_10_PCT,NS_LT_10_PCT,D_FGM,D_FGA,D_FG_PCT,NORMAL_FG_PCT,FG3M,FG3A,FG3_PCT,NS_FG3_PCT,FG2M,FG2A,FG2_PCT,NS_FG2_PCT,E_PACE,E_DEF_RATING
0,2023-24,MIL,Milwaukee Bucks,22300552,2024-01-14,MIL vs. SAC,1610612758,917,1553,0.59,0.584,1669,3437,0.486,0.475,519,1332,0.39,0.367,1150,2105,0.546,0.543,102.0,111.8
1,2023-24,MIL,Milwaukee Bucks,22300545,2024-01-13,MIL vs. GSW,1610612744,926,1547,0.599,0.588,1682,3516,0.478,0.478,500,1395,0.358,0.37,1182,2121,0.557,0.548,102.1,111.0
2,2023-24,MIL,Milwaukee Bucks,22300528,2024-01-11,MIL vs. BOS,1610612738,851,1560,0.546,0.588,1623,3588,0.452,0.477,537,1483,0.362,0.366,1086,2105,0.516,0.548,100.3,105.9
4,2023-24,MIL,Milwaukee Bucks,22300510,2024-01-08,MIL vs. UTA,1610612762,979,1690,0.579,0.582,1781,3737,0.477,0.473,578,1528,0.378,0.366,1203,2209,0.545,0.541,102.4,116.8
5,2023-24,MIL,Milwaukee Bucks,22300496,2024-01-06,MIL @ HOU,1610612745,825,1433,0.576,0.591,1547,3390,0.456,0.477,479,1398,0.343,0.366,1068,1992,0.536,0.548,98.8,105.2
7,2023-24,MIL,Milwaukee Bucks,22300477,2024-01-04,MIL @ SAS,1610612759,910,1543,0.59,0.582,1700,3484,0.488,0.475,538,1391,0.387,0.369,1162,2093,0.555,0.542,104.6,116.5
9,2023-24,MIL,Milwaukee Bucks,22300466,2024-01-03,MIL @ IND,1610612754,1096,1873,0.585,0.586,1767,3525,0.501,0.474,425,1123,0.378,0.367,1342,2402,0.559,0.545,107.1,117.9
10,2023-24,MIL,Milwaukee Bucks,22300454,2024-01-01,MIL vs. IND,1610612754,1096,1873,0.585,0.586,1767,3525,0.501,0.474,425,1123,0.378,0.367,1342,2402,0.559,0.545,107.1,117.9
14,2023-24,MIL,Milwaukee Bucks,22300433,2023-12-29,MIL @ CLE,1610612739,821,1467,0.56,0.586,1489,3236,0.46,0.474,444,1240,0.358,0.367,1045,1996,0.524,0.545,100.9,110.0
15,2023-24,MIL,Milwaukee Bucks,22300417,2023-12-27,MIL @ BKN,1610612751,784,1391,0.564,0.584,1557,3338,0.466,0.475,528,1379,0.383,0.367,1029,1959,0.525,0.543,100.6,112.9
17,2023-24,MIL,Milwaukee Bucks,22300401,2023-12-25,MIL @ NYK,1610612752,850,1432,0.594,0.588,1605,3397,0.472,0.477,511,1386,0.369,0.368,1094,2011,0.544,0.547,98.5,108.9
18,2023-24,MIL,Milwaukee Bucks,22300388,2023-12-23,MIL @ NYK,1610612752,850,1432,0.594,0.588,1605,3397,0.472,0.477,511,1386,0.369,0.368,1094,2011,0.544,0.547,98.5,108.9
21,2023-24,MIL,Milwaukee Bucks,22300378,2023-12-21,MIL vs. ORL,1610612753,905,1536,0.589,0.59,1596,3365,0.474,0.478,454,1279,0.355,0.368,1142,2086,0.547,0.549,102.7,104.7
8,2023-24,MIL,Milwaukee Bucks,22300361,2023-12-19,MIL vs. SAS,1610612759,910,1543,0.59,0.582,1700,3484,0.488,0.475,538,1391,0.387,0.369,1162,2093,0.555,0.542,104.6,116.5
6,2023-24,MIL,Milwaukee Bucks,22300346,2023-12-17,MIL vs. HOU,1610612745,825,1433,0.576,0.591,1547,3390,0.456,0.477,479,1398,0.343,0.366,1068,1992,0.536,0.548,98.8,105.2
23,2023-24,MIL,Milwaukee Bucks,22300334,2023-12-16,MIL vs. DET,1610612765,1006,1711,0.588,0.584,1731,3494,0.495,0.474,455,1195,0.381,0.367,1276,2299,0.555,0.544,102.3,114.7
11,2023-24,MIL,Milwaukee Bucks,22300315,2023-12-13,MIL vs. IND,1610612754,1096,1873,0.585,0.586,1767,3525,0.501,0.474,425,1123,0.378,0.367,1342,2402,0.559,0.545,107.1,117.9
25,2023-24,MIL,Milwaukee Bucks,22300300,2023-12-11,MIL vs. CHI,1610612741,863,1464,0.589,0.588,1659,3548,0.468,0.476,582,1590,0.366,0.368,1077,1958,0.55,0.545,97.9,112.9
12,2023-24,MIL,Milwaukee Bucks,22301229,2023-12-07,MIL vs. IND,1610612754,1096,1873,0.585,0.586,1767,3525,0.501,0.474,425,1123,0.378,0.367,1342,2402,0.559,0.545,107.1,117.9
19,2023-24,MIL,Milwaukee Bucks,22301201,2023-12-05,MIL vs. NYK,1610612752,850,1432,0.594,0.588,1605,3397,0.472,0.477,511,1386,0.369,0.368,1094,2011,0.544,0.547,98.5,108.9
28,2023-24,MIL,Milwaukee Bucks,22300286,2023-12-02,MIL vs. ATL,1610612737,999,1613,0.619,0.588,1757,3478,0.505,0.478,522,1341,0.389,0.367,1235,2137,0.578,0.548,104.5,115.1
26,2023-24,MIL,Milwaukee Bucks,22300269,2023-11-30,MIL @ CHI,1610612741,863,1464,0.589,0.588,1659,3548,0.468,0.476,582,1590,0.366,0.368,1077,1958,0.55,0.545,97.9,112.9
30,2023-24,MIL,Milwaukee Bucks,22300056,2023-11-28,MIL @ MIA,1610612748,883,1443,0.612,0.585,1600,3357,0.477,0.473,514,1422,0.361,0.364,1086,1935,0.561,0.543,99.2,108.2
32,2023-24,MIL,Milwaukee Bucks,22300245,2023-11-26,MIL vs. POR,1610612757,1040,1599,0.65,0.593,1694,3404,0.498,0.475,445,1296,0.343,0.366,1249,2108,0.593,0.549,100.5,111.5
33,2023-24,MIL,Milwaukee Bucks,22300049,2023-11-24,MIL vs. WAS,1610612764,1035,1717,0.603,0.582,1776,3560,0.499,0.474,502,1322,0.38,0.366,1274,2238,0.569,0.544,105.6,118.1
3,2023-24,MIL,Milwaukee Bucks,22300228,2023-11-22,MIL @ BOS,1610612738,851,1560,0.546,0.588,1623,3588,0.452,0.477,537,1483,0.362,0.366,1086,2105,0.516,0.548,100.3,105.9
34,2023-24,MIL,Milwaukee Bucks,22300219,2023-11-20,MIL @ WAS,1610612764,1035,1717,0.603,0.582,1776,3560,0.499,0.474,502,1322,0.38,0.366,1274,2238,0.569,0.544,105.6,118.1
35,2023-24,MIL,Milwaukee Bucks,22300205,2023-11-18,MIL vs. DAL,1610612742,996,1618,0.616,0.577,1740,3632,0.479,0.47,532,1458,0.365,0.365,1208,2174,0.556,0.537,103.1,115.0
36,2023-24,MIL,Milwaukee Bucks,22300027,2023-11-17,MIL @ CHA,1610612766,912,1502,0.607,0.586,1621,3251,0.499,0.477,499,1257,0.397,0.37,1122,1994,0.563,0.544,103.2,116.7
37,2023-24,MIL,Milwaukee Bucks,22300195,2023-11-15,MIL @ TOR,1610612761,955,1616,0.591,0.584,1710,3517,0.486,0.473,526,1357,0.388,0.366,1184,2160,0.548,0.543,101.4,109.2
