,SEASON_YEAR,TEAM_ABBREVIATION,TEAM_NAME,GAME_ID,GAME_DATE,MATCHUP,TEAM_ID,FGM_LT_10,FGA_LT_10,LT_10_PCT,NS_LT_10_PCT,D_FGM,D_FGA,D_FG_PCT,NORMAL_FG_PCT,FG3M,FG3A,FG3_PCT,NS_FG3_PCT,FG2M,FG2A,FG2_PCT,NS_FG2_PCT,E_PACE,E_DEF_RATING
0,2023-24,NOP,New Orleans Pelicans,22300525,2024-01-10,NOP @ GSW,1610612744,872,1468,0.594,0.586,1581,3336,0.474,0.478,469,1324,0.354,0.369,1112,2012,0.553,0.546,102.1,111.0
2,2023-24,NOP,New Orleans Pelicans,22300500,2024-01-07,NOP @ SAC,1610612758,897,1522,0.589,0.583,1621,3345,0.485,0.474,499,1289,0.387,0.366,1122,2056,0.546,0.542,102.0,111.8
6,2023-24,NOP,New Orleans Pelicans,22300486,2024-01-05,NOP vs. LAC,1610612746,825,1467,0.562,0.584,1544,3354,0.46,0.47,478,1340,0.357,0.363,1066,2014,0.529,0.541,101.2,106.0
8,2023-24,NOP,New Orleans Pelicans,22300471,2024-01-03,NOP @ MIN,1610612750,785,1443,0.544,0.586,1494,3371,0.443,0.473,435,1257,0.346,0.367,1059,2114,0.501,0.544,101.6,103.5
12,2023-24,NOP,New Orleans Pelicans,22300461,2024-01-02,NOP vs. BKN,1610612751,784,1391,0.564,0.584,1557,3338,0.466,0.475,528,1379,0.383,0.367,1029,1959,0.525,0.543,100.6,112.9
13,2023-24,NOP,New Orleans Pelicans,22300446,2023-12-31,NOP vs. LAL,1610612747,820,1422,0.577,0.58,1650,3522,0.468,0.472,556,1451,0.383,0.367,1094,2071,0.528,0.539,102.4,107.5
15,2023-24,NOP,New Orleans Pelicans,22300424,2023-12-28,NOP vs. UTA,1610612762,942,1614,0.584,0.581,1700,3564,0.477,0.472,548,1465,0.374,0.366,1152,2099,0.549,0.54,102.4,116.8
18,2023-24,NOP,New Orleans Pelicans,22300410,2023-12-26,NOP vs. MEM,1610612763,796,1451,0.549,0.588,1544,3322,0.465,0.476,519,1344,0.386,0.368,1025,1978,0.518,0.545,102.2,111.5
21,2023-24,NOP,New Orleans Pelicans,22300392,2023-12-23,NOP vs. HOU,1610612745,794,1374,0.578,0.59,1456,3212,0.453,0.476,440,1320,0.333,0.365,1016,1892,0.537,0.547,98.8,105.2
23,2023-24,NOP,New Orleans Pelicans,22300375,2023-12-21,NOP @ CLE,1610612739,821,1467,0.56,0.586,1489,3236,0.46,0.474,444,1240,0.358,0.366,1045,1996,0.524,0.545,100.9,110.0
19,2023-24,NOP,New Orleans Pelicans,22300360,2023-12-19,NOP vs. MEM,1610612763,796,1451,0.549,0.588,1544,3322,0.465,0.476,519,1344,0.386,0.368,1025,1978,0.518,0.545,102.2,111.5
24,2023-24,NOP,New Orleans Pelicans,22300345,2023-12-17,NOP @ SAS,1610612759,872,1465,0.595,0.583,1622,3305,0.491,0.475,513,1323,0.388,0.369,1109,1982,0.56,0.543,104.6,116.5
26,2023-24,NOP,New Orleans Pelicans,22300326,2023-12-15,NOP @ CHA,1610612766,863,1421,0.607,0.586,1536,3083,0.498,0.476,470,1194,0.394,0.37,1066,1889,0.564,0.544,103.2,116.7
27,2023-24,NOP,New Orleans Pelicans,22300311,2023-12-13,NOP @ WAS,1610612764,1018,1675,0.608,0.584,1744,3467,0.503,0.475,491,1282,0.383,0.367,1253,2185,0.573,0.545,105.6,118.1
9,2023-24,NOP,New Orleans Pelicans,22300301,2023-12-11,NOP vs. MIN,1610612750,785,1443,0.544,0.586,1494,3371,0.443,0.473,435,1257,0.346,0.367,1059,2114,0.501,0.544,101.6,103.5
14,2023-24,NOP,New Orleans Pelicans,22301230,2023-12-07,NOP @ LAL,1610612747,820,1422,0.577,0.58,1650,3522,0.468,0.472,556,1451,0.383,0.367,1094,2071,0.528,0.539,102.4,107.5
3,2023-24,NOP,New Orleans Pelicans,22301204,2023-12-04,NOP @ SAC,1610612758,897,1522,0.589,0.583,1621,3345,0.485,0.474,499,1289,0.387,0.366,1122,2056,0.546,0.542,102.0,111.8
28,2023-24,NOP,New Orleans Pelicans,22300285,2023-12-02,NOP @ CHI,1610612741,827,1397,0.592,0.588,1571,3359,0.468,0.478,544,1497,0.363,0.369,1027,1862,0.552,0.546,97.9,112.9
25,2023-24,NOP,New Orleans Pelicans,22300278,2023-12-01,NOP vs. SAS,1610612759,872,1465,0.595,0.583,1622,3305,0.491,0.475,513,1323,0.388,0.369,1109,1982,0.56,0.543,104.6,116.5
29,2023-24,NOP,New Orleans Pelicans,22300262,2023-11-29,NOP vs. PHI,1610612755,876,1510,0.58,0.585,1502,3257,0.461,0.475,411,1218,0.337,0.366,1091,2039,0.535,0.546,101.5,110.9
16,2023-24,NOP,New Orleans Pelicans,22300256,2023-11-27,NOP @ UTA,1610612762,942,1614,0.584,0.581,1700,3564,0.477,0.472,548,1465,0.374,0.366,1152,2099,0.549,0.54,102.4,116.8
17,2023-24,NOP,New Orleans Pelicans,22300243,2023-11-25,NOP @ UTA,1610612762,942,1614,0.584,0.581,1700,3564,0.477,0.472,548,1465,0.374,0.366,1152,2099,0.549,0.54,102.4,116.8
7,2023-24,NOP,New Orleans Pelicans,22300052,2023-11-24,NOP @ LAC,1610612746,825,1467,0.562,0.584,1544,3354,0.46,0.47,478,1340,0.357,0.363,1066,2014,0.529,0.541,101.2,106.0
4,2023-24,NOP,New Orleans Pelicans,22300233,2023-11-22,NOP vs. SAC,1610612758,897,1522,0.589,0.583,1621,3345,0.485,0.474,499,1289,0.387,0.366,1122,2056,0.546,0.542,102.0,111.8
5,2023-24,NOP,New Orleans Pelicans,22300222,2023-11-20,NOP vs. SAC,1610612758,897,1522,0.589,0.583,1621,3345,0.485,0.474,499,1289,0.387,0.366,1122,2056,0.546,0.542,102.0,111.8
10,2023-24,NOP,New Orleans Pelicans,22300203,2023-11-18,NOP vs. MIN,1610612750,785,1443,0.544,0.586,1494,3371,0.443,0.473,435,1257,0.346,0.367,1059,2114,0.501,0.544,101.6,103.5
30,2023-24,NOP,New Orleans Pelicans,22300034,2023-11-17,NOP vs. DEN,1610612743,865,1535,0.564,0.583,1545,3325,0.465,0.472,432,1193,0.362,0.365,1113,2132,0.522,0.542,99.8,110.0
32,2023-24,NOP,New Orleans Pelicans,22300022,2023-11-14,NOP vs. DAL,1610612742,974,1579,0.617,0.577,1701,3553,0.479,0.469,520,1428,0.364,0.363,1181,2125,0.556,0.537,103.1,115.0
33,2023-24,NOP,New Orleans Pelicans,22300183,2023-11-12,NOP vs. DAL,1610612742,974,1579,0.617,0.577,1701,3553,0.479,0.469,520,1428,0.364,0.363,1181,2125,0.556,0.537,103.1,115.0
22,2023-24,NOP,New Orleans Pelicans,22300011,2023-11-10,NOP @ HOU,1610612745,794,1374,0.578,0.59,1456,3212,0.453,0.476,440,1320,0.333,0.365,1016,1892,0.537,0.547,98.8,105.2
11,2023-24,NOP,New Orleans Pelicans,22300166,2023-11-08,NOP @ MIN,1610612750,785,1443,0.544,0.586,1494,3371,0.443,0.473,435,1257,0.346,0.367,1059,2114,0.501,0.544,101.6,103.5
31,2023-24,NOP,New Orleans Pelicans,22300156,2023-11-06,NOP @ DEN,1610612743,865,1535,0.564,0.583,1545,3325,0.465,0.472,432,1193,0.362,0.365,1113,2132,0.522,0.542,99.8,110.0
34,2023-24,NOP,New Orleans Pelicans,22300135,2023-11-04,NOP vs. ATL,1610612737,971,1564,0.621,0.588,1710,3381,0.506,0.478,510,1309,0.39,0.367,1200,2072,0.579,0.548,104.5,115.1
35,2023-24,NOP,New Orleans Pelicans,22300129,2023-11-02,NOP vs. DET,1610612765,1006,1711,0.588,0.584,1731,3494,0.495,0.474,455,1195,0.381,0.366,1276,2299,0.555,0.544,102.3,114.7
36,2023-24,NOP,New Orleans Pelicans,22300121,2023-11-01,NOP @ OKC,1610612760,782,1429,0.547,0.582,1478,3339,0.443,0.47,511,1428,0.358,0.365,967,1911,0.506,0.54,102.6,107.7
1,2023-24,NOP,New Orleans Pelicans,22300108,2023-10-30,NOP vs. GSW,1610612744,872,1468,0.594,0.586,1581,3336,0.474,0.478,469,1324,0.354,0.369,1112,2012,0.553,0.546,102.1,111.0
37,2023-24,NOP,New Orleans Pelicans,22300090,2023-10-28,NOP vs. NYK,1610612752,828,1392,0.595,0.591,1569,3310,0.474,0.478,502,1348,0.372,0.368,1067,1962,0.544,0.549,98.5,108.9
20,2023-24,NOP,New Orleans Pelicans,22300071,2023-10-25,NOP @ MEM,1610612763,796,1451,0.549,0.588,1544,3322,0.465,0.476,519,1344,0.386,0.368,1025,1978,0.518,0.545,102.2,111.5
