,SEASON_YEAR,TEAM_ABBREVIATION,TEAM_NAME,GAME_ID,GAME_DATE,MATCHUP,TEAM_ID,FGM_LT_10,FGA_LT_10,LT_10_PCT,NS_LT_10_PCT,D_FGM,D_FGA,D_FG_PCT,NORMAL_FG_PCT,FG3M,FG3A,FG3_PCT,NS_FG3_PCT,FG2M,FG2A,FG2_PCT,NS_FG2_PCT,E_PACE,E_DEF_RATING
0,2023-24,OKC,Oklahoma City Thunder,22300239,2023-11-25,OKC vs. PHI,1610612755,365.0,659.0,0.554,0.586,657.0,1425.0,0.461,0.478,196.0,546.0,0.359,0.368,461.0,879.0,0.524,0.551,101.5,110.9
1,2023-24,OKC,Oklahoma City Thunder,22300239,2023-11-25,OKC vs. PHI,1610612755,,,,,,,,,,,,,,,,,101.5,110.9
2,2023-24,OKC,Oklahoma City Thunder,22300234,2023-11-22,OKC vs. CHI,1610612741,338.0,569.0,0.594,0.578,672.0,1433.0,0.469,0.474,248.0,666.0,0.372,0.373,424.0,767.0,0.553,0.538,97.9,112.9
4,2023-24,OKC,Oklahoma City Thunder,22300234,2023-11-22,OKC vs. CHI,1610612741,,,,,,,,,,,,,,,,,97.9,112.9
6,2023-24,OKC,Oklahoma City Thunder,22300215,2023-11-19,OKC @ POR,1610612757,422.0,673.0,0.627,0.58,665.0,1369.0,0.486,0.467,176.0,499.0,0.353,0.355,489.0,870.0,0.562,0.538,100.5,111.5
7,2023-24,OKC,Oklahoma City Thunder,22300215,2023-11-19,OKC @ POR,1610612757,,,,,,,,,,,,,,,,,100.5,111.5
8,2023-24,OKC,Oklahoma City Thunder,22300207,2023-11-18,OKC @ GSW,1610612744,377.0,668.0,0.564,0.583,696.0,1505.0,0.462,0.478,200.0,573.0,0.349,0.366,496.0,932.0,0.532,0.545,102.1,111.0
11,2023-24,OKC,Oklahoma City Thunder,22300207,2023-11-18,OKC @ GSW,1610612744,,,,,,,,,,,,,,,,,102.1,111.0
9,2023-24,OKC,Oklahoma City Thunder,22300201,2023-11-16,OKC @ GSW,1610612744,377.0,668.0,0.564,0.583,696.0,1505.0,0.462,0.478,200.0,573.0,0.349,0.366,496.0,932.0,0.532,0.545,102.1,111.0
12,2023-24,OKC,Oklahoma City Thunder,22300201,2023-11-16,OKC @ GSW,1610612744,,,,,,,,,,,,,,,,,102.1,111.0
14,2023-24,OKC,Oklahoma City Thunder,22300021,2023-11-14,OKC vs. SAS,1610612759,398.0,657.0,0.606,0.576,764.0,1530.0,0.499,0.47,249.0,624.0,0.399,0.368,515.0,906.0,0.568,0.538,104.6,116.5
15,2023-24,OKC,Oklahoma City Thunder,22300021,2023-11-14,OKC vs. SAS,1610612759,,,,,,,,,,,,,,,,,104.6,116.5
17,2023-24,OKC,Oklahoma City Thunder,22300185,2023-11-12,OKC @ PHX,1610612756,,,,,,,,,,,,,,,,,99.9,111.1
16,2023-24,OKC,Oklahoma City Thunder,22300185,2023-11-12,OKC @ PHX,1610612756,407.0,707.0,0.576,0.569,706.0,1540.0,0.458,0.459,195.0,557.0,0.35,0.355,511.0,983.0,0.52,0.525,99.9,111.1
18,2023-24,OKC,Oklahoma City Thunder,22300016,2023-11-10,OKC @ SAC,1610612758,365.0,599.0,0.609,0.578,635.0,1308.0,0.485,0.469,177.0,480.0,0.369,0.359,458.0,828.0,0.553,0.537,102.0,111.8
19,2023-24,OKC,Oklahoma City Thunder,22300016,2023-11-10,OKC @ SAC,1610612758,,,,,,,,,,,,,,,,,102.0,111.8
20,2023-24,OKC,Oklahoma City Thunder,22300167,2023-11-08,OKC vs. CLE,1610612739,360.0,674.0,0.534,0.576,691.0,1513.0,0.457,0.47,215.0,566.0,0.38,0.368,476.0,947.0,0.503,0.536,100.9,110.0
22,2023-24,OKC,Oklahoma City Thunder,22300167,2023-11-08,OKC vs. CLE,1610612739,,,,,,,,,,,,,,,,,100.9,110.0
24,2023-24,OKC,Oklahoma City Thunder,22300155,2023-11-06,OKC vs. ATL,1610612737,409.0,671.0,0.61,0.578,719.0,1466.0,0.49,0.474,216.0,587.0,0.368,0.367,503.0,879.0,0.572,0.54,104.5,115.1
25,2023-24,OKC,Oklahoma City Thunder,22300155,2023-11-06,OKC vs. ATL,1610612737,,,,,,,,,,,,,,,,,104.5,115.1
13,2023-24,OKC,Oklahoma City Thunder,22300005,2023-11-03,OKC vs. GSW,1610612744,,,,,,,,,,,,,,,,,102.1,111.0
10,2023-24,OKC,Oklahoma City Thunder,22300005,2023-11-03,OKC vs. GSW,1610612744,377.0,668.0,0.564,0.583,696.0,1505.0,0.462,0.478,200.0,573.0,0.349,0.366,496.0,932.0,0.532,0.545,102.1,111.0
27,2023-24,OKC,Oklahoma City Thunder,22300121,2023-11-01,OKC vs. NOP,1610612740,,,,,,,,,,,,,,,,,102.8,109.5
26,2023-24,OKC,Oklahoma City Thunder,22300121,2023-11-01,OKC vs. NOP,1610612740,384.0,637.0,0.603,0.576,702.0,1527.0,0.46,0.469,217.0,679.0,0.32,0.362,485.0,848.0,0.572,0.54,102.8,109.5
29,2023-24,OKC,Oklahoma City Thunder,22300109,2023-10-30,OKC vs. DET,1610612765,,,,,,,,,,,,,,,,,102.3,114.7
28,2023-24,OKC,Oklahoma City Thunder,22300109,2023-10-30,OKC vs. DET,1610612765,384.0,695.0,0.553,0.578,670.0,1424.0,0.471,0.471,173.0,472.0,0.367,0.365,497.0,952.0,0.522,0.535,102.3,114.7
