,SEASON_YEAR,TEAM_ABBREVIATION,TEAM_NAME,GAME_ID,GAME_DATE,MATCHUP,TEAM_ID,FGM_LT_10,FGA_LT_10,LT_10_PCT,NS_LT_10_PCT,D_FGM,D_FGA,D_FG_PCT,NORMAL_FG_PCT,FG3M,FG3A,FG3_PCT,NS_FG3_PCT,FG2M,FG2A,FG2_PCT,NS_FG2_PCT,E_PACE,E_DEF_RATING
0,2023-24,POR,Portland Trail Blazers,22300245,2023-11-26,POR @ MIL,1610612749,380.0,666.0,0.571,0.578,743.0,1585.0,0.469,0.468,222.0,619.0,0.359,0.361,521.0,966.0,0.539,0.537,103.9,113.1
1,2023-24,POR,Portland Trail Blazers,22300245,2023-11-26,POR @ MIL,1610612749,,,,,,,,,,,,,,,,,103.9,113.1
2,2023-24,POR,Portland Trail Blazers,22300237,2023-11-22,POR vs. UTA,1610612762,395.0,647.0,0.611,0.576,711.0,1450.0,0.49,0.464,221.0,597.0,0.37,0.356,490.0,853.0,0.574,0.533,102.4,116.8
4,2023-24,POR,Portland Trail Blazers,22300237,2023-11-22,POR vs. UTA,1610612762,,,,,,,,,,,,,,,,,102.4,116.8
6,2023-24,POR,Portland Trail Blazers,22300041,2023-11-21,POR @ PHX,1610612756,407.0,707.0,0.576,0.569,706.0,1540.0,0.458,0.459,195.0,557.0,0.35,0.355,511.0,983.0,0.52,0.525,99.9,111.1
7,2023-24,POR,Portland Trail Blazers,22300041,2023-11-21,POR @ PHX,1610612756,,,,,,,,,,,,,,,,,99.9,111.1
9,2023-24,POR,Portland Trail Blazers,22300215,2023-11-19,POR vs. OKC,1610612760,,,,,,,,,,,,,,,,,102.6,107.7
8,2023-24,POR,Portland Trail Blazers,22300215,2023-11-19,POR vs. OKC,1610612760,336.0,603.0,0.557,0.573,634.0,1462.0,0.434,0.462,207.0,607.0,0.341,0.357,427.0,855.0,0.499,0.529,102.6,107.7
10,2023-24,POR,Portland Trail Blazers,22300036,2023-11-17,POR vs. LAL,1610612747,373.0,662.0,0.563,0.575,724.0,1596.0,0.454,0.462,230.0,652.0,0.353,0.356,494.0,944.0,0.523,0.534,102.4,107.5
12,2023-24,POR,Portland Trail Blazers,22300036,2023-11-17,POR vs. LAL,1610612747,,,,,,,,,,,,,,,,,102.4,107.5
