,SEASON_YEAR,TEAM_ABBREVIATION,TEAM_NAME,GAME_ID,GAME_DATE,MATCHUP,TEAM_ID,FGM_LT_10,FGA_LT_10,LT_10_PCT,NS_LT_10_PCT,D_FGM,D_FGA,D_FG_PCT,NORMAL_FG_PCT,FG3M,FG3A,FG3_PCT,NS_FG3_PCT,FG2M,FG2A,FG2_PCT,NS_FG2_PCT,E_PACE,E_DEF_RATING
0,2023-24,UTA,Utah Jazz,22300549,2024-01-13,UTA vs. LAL,1610612747,847,1470,0.576,0.581,1692,3615,0.468,0.472,568,1488,0.382,0.367,1124,2127,0.528,0.54,102.4,107.5
2,2023-24,UTA,Utah Jazz,22300540,2024-01-12,UTA vs. TOR,1610612761,955,1616,0.591,0.584,1710,3517,0.486,0.473,526,1357,0.388,0.366,1184,2160,0.548,0.543,101.4,109.2
4,2023-24,UTA,Utah Jazz,22300524,2024-01-10,UTA vs. DEN,1610612743,915,1624,0.563,0.584,1630,3506,0.465,0.474,453,1255,0.361,0.365,1177,2251,0.523,0.543,99.8,110.0
6,2023-24,UTA,Utah Jazz,22300510,2024-01-08,UTA @ MIL,1610612749,981,1693,0.579,0.583,1788,3795,0.471,0.473,475,1398,0.34,0.365,1313,2397,0.548,0.542,103.9,113.1
7,2023-24,UTA,Utah Jazz,22300495,2024-01-06,UTA @ PHI,1610612755,902,1551,0.582,0.584,1546,3345,0.462,0.475,419,1245,0.337,0.366,1127,2100,0.537,0.545,101.5,110.9
8,2023-24,UTA,Utah Jazz,22300479,2024-01-05,UTA @ BOS,1610612738,851,1560,0.546,0.588,1623,3588,0.452,0.477,537,1483,0.362,0.366,1086,2105,0.516,0.548,100.3,105.9
9,2023-24,UTA,Utah Jazz,22300474,2024-01-03,UTA vs. DET,1610612765,1006,1711,0.588,0.584,1731,3494,0.495,0.474,455,1195,0.381,0.367,1276,2299,0.555,0.544,102.3,114.7
11,2023-24,UTA,Utah Jazz,22300457,2024-01-01,UTA vs. DAL,1610612742,996,1618,0.616,0.577,1740,3632,0.479,0.47,532,1458,0.365,0.365,1208,2174,0.556,0.537,103.1,115.0
13,2023-24,UTA,Utah Jazz,22300439,2023-12-30,UTA vs. MIA,1610612748,883,1443,0.612,0.585,1600,3357,0.477,0.473,514,1422,0.361,0.364,1086,1935,0.561,0.543,99.2,108.2
14,2023-24,UTA,Utah Jazz,22300424,2023-12-28,UTA @ NOP,1610612740,895,1491,0.6,0.585,1599,3476,0.46,0.473,518,1538,0.337,0.365,1081,1938,0.558,0.544,102.8,109.5
