,SEASON_YEAR,TEAM_ABBREVIATION,TEAM_NAME,GAME_ID,GAME_DATE,MATCHUP,TEAM_ID,FGM_LT_10,FGA_LT_10,LT_10_PCT,NS_LT_10_PCT,D_FGM,D_FGA,D_FG_PCT,NORMAL_FG_PCT,FG3M,FG3A,FG3_PCT,NS_FG3_PCT,FG2M,FG2A,FG2_PCT,NS_FG2_PCT,E_PACE,E_DEF_RATING
0,2023-24,WAS,Washington Wizards,22300241,2023-11-25,WAS vs. ATL,1610612737,409.0,671.0,0.61,0.578,719.0,1466.0,0.49,0.474,216.0,587.0,0.368,0.367,503.0,879.0,0.572,0.54,104.5,115.1
2,2023-24,WAS,Washington Wizards,22300241,2023-11-25,WAS vs. ATL,1610612737,,,,,,,,,,,,,,,,,104.5,115.1
4,2023-24,WAS,Washington Wizards,22300049,2023-11-24,WAS @ MIL,1610612749,380.0,666.0,0.571,0.578,743.0,1585.0,0.469,0.468,222.0,619.0,0.359,0.361,521.0,966.0,0.539,0.537,103.9,113.1
6,2023-24,WAS,Washington Wizards,22300049,2023-11-24,WAS @ MIL,1610612749,,,,,,,,,,,,,,,,,103.9,113.1
11,2023-24,WAS,Washington Wizards,22300225,2023-11-22,WAS @ CHA,1610612766,,,,,,,,,,,,,,,,,103.2,116.7
8,2023-24,WAS,Washington Wizards,22300225,2023-11-22,WAS @ CHA,1610612766,363.0,610.0,0.595,0.582,665.0,1351.0,0.492,0.472,214.0,555.0,0.386,0.366,451.0,796.0,0.567,0.543,103.2,116.7
5,2023-24,WAS,Washington Wizards,22300219,2023-11-20,WAS vs. MIL,1610612749,380.0,666.0,0.571,0.578,743.0,1585.0,0.469,0.468,222.0,619.0,0.359,0.361,521.0,966.0,0.539,0.537,103.9,113.1
7,2023-24,WAS,Washington Wizards,22300219,2023-11-20,WAS vs. MIL,1610612749,,,,,,,,,,,,,,,,,103.9,113.1
15,2023-24,WAS,Washington Wizards,22300028,2023-11-17,WAS vs. NYK,1610612752,,,,,,,,,,,,,,,,,98.5,108.9
14,2023-24,WAS,Washington Wizards,22300028,2023-11-17,WAS vs. NYK,1610612752,320.0,529.0,0.605,0.59,621.0,1332.0,0.466,0.474,202.0,564.0,0.358,0.361,419.0,768.0,0.546,0.547,98.5,108.9
17,2023-24,WAS,Washington Wizards,22300192,2023-11-15,WAS vs. DAL,1610612742,,,,,,,,,,,,,,,,,103.1,115.0
